Row Number,Artist Names,Track Names
140,Young M.A,Numb
141,juno,obsessed
142,The Killers,Mr. Brightside
143,"Future, Lil Uzi Vert",Drankin N Smokin
144,Juice WRLD,Armed And Dangerous
145,gianni & kyle,do u even miss me at all?
146,100 gecs,sympathy 4 the grinch
147,All Time Low,"Dear Maria, Count Me In"
148,Chief Keef,That's It
149,King Theta,Backwards
150,Shamir,Ocean Eyes
151,Hamilton,Fell Into a Nightmare
152,Lance Free,Clementine
153,Eminem,The Real Slim Shady
154,"Flowars, guardin",bloodsucker
155,"The Kid LAROI, Juice WRLD",GO (feat. Juice WRLD)
156,93FEETOFSMOKE,Lie & Say I Love Her
157,The Weeknd,Escape From LA
158,Tom Odell,Another Love
159,Rose Cousins,The Grate
160,Jutes,Sideshow
161,Lil Uzi Vert,Myron
162,"Drake, Rihanna",Take Care
163,"Belly, The Weeknd",What You Want
164,Sevdaliza,Wallflower
165,27CLUB,ANXIOUS
166,Mac DeMarco,My Kind of Woman
167,LocateEmilio,It Is What It Is
168,Kanye West,New Slaves
169,cxltgod,FTC
170,Cults,Always Forever
171,NAV,Good For It
172,Kid Cudi,Up Up & Away
173,916frosty,waiting
174,"NAV, Travis Scott",Champion (feat. Travis Scott)
175,Mild Orange,Some Feeling
176,"Travis Scott, Future, 2 Chainz",3500 (feat. Future & 2 Chainz)
177,Oasis,Don't Look Back In Anger
178,Freddie Sunshine,Sun and The Moon
179,"100 gecs, Laura Les, Dylan Brady",hand crushed by a mallet
180,"Juice WRLD, Rvssian, Clever",Ring Ring (with Rvssian feat. Clever)
181,Michael Wyckoff,Bone Theme
182,"Drake, Giveon",Chicago Freestyle (feat. Giveon)
183,Travis Scott,STARGAZING
184,Yusei,Unrequited Love
185,"Jaden, SYRE",Again
186,Yaiko Kaori,Maybe i'm alone
187,No Shame,Take the Money & Run
188,Nameless,Asu No Yozora Shoukaihan
189,Pop Smoke,Something Special
190,93FEETOFSMOKE,sick of myself
191,KYLE,What It Is
192,"Treyarch Sound, Brian Tuey, James McCawley, Kevin Sherwood",115
193,fats'e,blind in the spotlight
194,"Drake, Playboi Carti",Pain 1993 (with Playboi Carti)
195,Drake,Marvins Room
196,Lil Uzi Vert,Celebration Station
197,"iann dior, Bernard Jabs",molly
198,Future,March Madness
199,Koi,sbs
200,"Travis Scott, Swae Lee, Chief Keef",Nightcrawler (feat. Swae Lee & Chief Keef)
201,Lil Uzi Vert,Baby Pluto
202,Travis Scott,Antidote
203,"Tyla Yaweh, SAINt JHN, Post Malone",Tommy Lee (feat. SAINt JHN & Post Malone) - Remix
204,Lil Uzi Vert,Prices
205,KYLE,Bouncin
206,Laura Les,Haunted
207,convolk,get lost
208,"Trippie Redd, Playboi Carti",Miss The Rage (feat. Playboi Carti)
209,Shamir,Other Side
210,The Weeknd,Too Late
211,Justin Rarri,NEVADA
212,The Weeknd,Hardest To Love
213,Travis Scott,A-Team
214,diveliner,Closer
215,"Tory Lanez, Mansa",10 F*CKS (with Mansa)
216,convolk,i fucked up
217,convolk,tie me to the train tracks
218,"100 gecs, Laura Les, Dylan Brady",ringtone
219,Yxngxr1,"Damn, She Just Broke Up w/ Me"
220,"Nicky Romero, Deniz Koyu, Walk Off the Earth",Paradise
221,"Future, Lil Uzi Vert",Over Your Head
222,"Don Toliver, Kaash Paige, Travis Scott",Euphoria (feat. Travis Scott & Kaash Paige)
223,Jungle,Keep Moving
224,safehold,Too Far Gone
225,Travis Scott,BUTTERFLY EFFECT
226,Playboi Carti,@ MEH
227,Juice WRLD,Fast
228,"sober rob, Trevor Daniel",Gone
229,brakence,rosier/punk2
230,"Kanye West, T-Pain",Good Life
231,"JELEEL!, prettyboydo",Sinner!
232,"nothing,nowhere.",hammer
233,iann dior,emotions
234,"juno, AViT",insomnia
235,"Supachefm, jay vee, Jakkyboí","Fine Wine, Long Life"
236,Regina Spektor,Samson
237,"Syn Cole, kirstin",Got the Feeling
238,shinigami,heart attack
239,Band of Horses,No One's Gonna Love You
240,guardin,i think you're really cool
241,Leo IV,high maintenance
242,RoomTone,Theme of One Punch Man (Seigi Shikkou)
243,"Eminem, Dido",Stan
244,Lil Uzi Vert,Bigger Than Life
245,"Mike Posner, Gigamesh",Cooler Than Me - Single Mix
246,benny mayne,THE WORST
247,Capstan,Wax Poetic
248,Marco Luka,do me wrong
249,Mac DeMarco,Chamber Of Reflection
250,Mooski,Track Star
251,Lil Uzi Vert,You Was Right
252,"lil aaron, Kim Petras, Laura Les",Anymore - Laura Les Remix
253,Drex Carter,Monday Mourning
254,Pi’erre Bourne,Poof
255,"Global Dan, Global AzN",Poison
256,"Prettyboi Floydd, Bobby Raps",2 Damaged
257,Yungcudii,Think Too Much
258,Kevin LaSean,Racks
259,Capstan,Stars Before The Sun
260,Juice WRLD,Righteous
261,Juice WRLD,All Girls Are The Same
262,"Dream, Ivory",welcome and goodbye
263,"Maggie Lindemann, Travis Barker",Friends Go (feat. Travis Barker)
264,Jakkyboí,Why U Gotta Mean So Much?
265,"Travis Scott, The Weeknd",Pray 4 Love (feat. The Weeknd)
266,Kanye West,Ultralight Beam
267,Travis Scott,goosebumps
268,Bon Iver,iMi
269,Bobby Raps,Believe the Lie
270,"gravehours, guardin, abbot",FRIENDS
271,"Lil Tecca, Juice WRLD",Ransom (with Juice WRLD) - Remix
272,"Machine Gun Kelly, Travis Barker",Misery Business
273,93FEETOFSMOKE,cut the feedback!
274,Juice WRLD,Maze
275,ElyOtto,SugarCrash!
276,guardin,Inside
277,"Tuxx, shinigami",Toxic
278,Jonathan Parecki,ONE PUNCH MAN Opening Theme - THE HERO
279,Kid Cudi,Soundtrack 2 My Life
280,"KILLY, Y2K",OH NO
281,"Spooky Boi, Effy",Crash
282,Pop Smoke,Flexin'
283,Surf Curse,Disco
284,Effy,Bonita
285,PARTYNEXTDOOR,TOUCH ME
286,"Kanye West, Rick Ross",Devil In A New Dress
287,Kanye West,All Of The Lights (Interlude)
288,guardin,kinda sorta
289,"93FEETOFSMOKE, shinigami, fats'e",never come back
290,"Teqkoi, Snøw",I'm Not Enough and I'm Sorry
291,"T-Pain, Yung Joc",Buy U a Drank (Shawty Snappin') (feat. Yung Joc)
292,The Weeknd,After Hours
293,Paris Shadows,OUTSIDE
294,Bon Iver,Holocene
295,Sevdaliza,Rhode
296,raspy,meadow
297,93FEETOFSMOKE,LIE SELLER
298,Eminem,Beautiful
299,Lil Uzi Vert,Trap This Way (This Way)
300,Tothegood,"One Who Hurts, One Who Loves."
301,"Rihanna, Kanye West, Paul McCartney",FourFiveSeconds
302,POORSTACY,Hills Have Eyes
303,"Playboi Carti, Future",Teen X (feat. Future)
304,Eminem,Without Me
305,"food house, Gupi, Fraxiom",51129
306,Naïka,Sauce
307,SAINt JHN,Roses
308,underscores,pay attention!
309,BLESSED,Memoirs of the Melancholy
310,Juice WRLD,Lean Wit Me
311,Oklou,Entertnmnt
312,"XXXTENTACION, PnB Rock, Trippie Redd",bad vibes forever
313,"PARTYNEXTDOOR, Drake",LOYAL (feat. Drake)
314,Kanye West,Heartless
315,Oasis,Wonderwall
316,"KREAM, Maia Wright",Decisions (feat. Maia Wright)
317,lil aaron,DRUGS
318,Mild Orange,Stranger
319,"Dead Robot, Saphir",Wings Apart
320,"100 gecs, Laura Les, Dylan Brady",stupid horse
321,Drainpuppet,My Chakras Are Fast and Hype
322,Oklou,Friendless
323,"Juice WRLD, Lil Uzi Vert",Wasted (feat. Lil Uzi Vert)
324,Travis Scott,Impossible
325,A$AP Rocky,Lord Pretty Flacko Jodye 2 (LPFJ2)
326,"Yung Bleu, Drake",You’re Mines Still (feat. Drake)
327,"DDG, OG Parker, Coi Leray",Impatient (feat. Coi Leray)
328,Dear and the Headlights,Sweet Talk
329,"Pritty, Kevin Bedford",Imagine That
330,guardin,Solitary
331,The Weeknd,Faith
332,King Theta,Shadow
333,Dylan Brady,I'll Make You Miss Me All The Time
334,i_o,Castles In The Sky
335,Dro Kenji,Houdini
336,i9bonsai,funee monkee gif
337,"Oklou, Casey MQ",Lurk
338,Fatoumata Diawara,Nterini - A COLORS SHOW
339,Tony Velour,Do or Die
340,POORSTACY,hollow
341,Juice WRLD,Hear Me Calling
342,prettyboydo,Same Energy
343,"benny blanco, Juice WRLD, Brendon Urie",Roses (with Juice WRLD feat. Brendon Urie)
344,Beach House,Space Song
345,Senses,I Don't Wanna Change
346,Kanye West,FML
347,Kyle The Hooligan,On My Own
348,Juice WRLD,Conversations
349,SpaceMan Zack,Drugs in the Rain
350,"Roderick Porter, Jay Portal",Unconditional
351,diveliner,Gaslight!
352,SAIAH,Cold
353,"Huncho Jack, Travis Scott, Quavo",Modern Slavery
354,Lil Uzi Vert,That Way
355,"Alex Skrindo, Miza",Thinkin'
356,Aries,CAROUSEL
357,Juice WRLD,Lucid Dreams
358,The Weeknd,Until I Bleed Out
359,"JACKBOYS, Travis Scott, Young Thug",OUT WEST (feat. Young Thug)
360,"SEGA SOUND TEAM, ZENTA",Red Radical Rage
361,Machine Gun Kelly,bloody valentine
362,"Young Thug, Young Stoner Life, Gunna, Lil Baby",Chanel (Go Get It) [feat. Gunna & Lil Baby]
363,"Jakkyboí, Yung Scuff",dying 2 kno
364,"The Weeknd, The Blaze",After Hours - The Blaze Remix
365,Tom The Mail Man,My Storm
366,Bladee,Be Nice 2 Me
367,Yusei,Aesthetic Girl
